tilesheet_coordinates,key,name,image,unsettling_description,silly_description,original_description
"(304, 176)",283,Holly,,"Crisp and juicy berries. Alas, some things are only edible once.",,The leaves and bright red berries make a popular winter decoration.
"(320, 176)",284,Beet,,Blame troublesome red stains on the juice of this vegetable.,,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad."
"(352, 176)",286,Cherry Bomb,,A small explosive device that is unfortunately tempting for small children.,,Generates a small explosion. Stand back!
"(368, 176)",287,Bomb,,A civilian version of a mass-produced explosive from the Gotoro war.,,Generates an explosion. Watch out!
"(0, 192)",288,Mega Bomb,,A devastatingly powerful bomb intended to inflict maximum damage and harm.,,Generates a powerful explosion. Use with extreme caution.
"(32, 192)",290,Stone,,UNOBTAINABLE,,...
"(80, 192)",293,Brick Floor,,"Chunks of brick can make decent weapons, in a pinch. Place on the ground to create paths or floors.",,Place on the ground to create paths or to decorate your floors.
"(96, 192)",294,Twig,,UNOBTAINABLE,,...
"(112, 192)",295,Twig,,UNOBTAINABLE,,...
"(128, 192)",296,Salmonberry,,The color is eerily similar to salmon... eggs.,,A spring-time berry with the flavor of the forest.
"(144, 192)",297,Grass Starter,,"Plant this for your animals to eat. When you scythe it, you can smell the grass screaming in pain as it dies.",,Place this on your farm to start a new patch of grass.
"(160, 192)",298,Hardwood Fence,,Makes a stronger prison than an iron fence.,,The most durable type of fence.
"(176, 192)",299,Amaranth Seeds,,"Dense and heavy. Plant in fall, 7 days. Harvest with scythe.",,Plant these in the fall. Takes 7 days to grow. Harvest with the scythe.
"(192, 192)",300,Amaranth,,A purple grain like a thousand years old. Good luck actually enjoying this dust.,,A purple grain cultivated by an ancient civilization.
"(208, 192)",301,Grape Starter,,"The first step to self-sufficient alcoholism. Plant in fall, 10 days, reharvestable. Trellis crop.",,"Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
"(224, 192)",302,Hops Starter,,"A make-work project. Plant in summer, 11 days, reharvestable. Trellis crop.",,"Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
"(240, 192)",303,Pale Ale,,Drink before and after driving a bus if your name is Pam.,,Drink in moderation.
"(256, 192)",304,Hops,,"Bitter, foul-smelling green seed cones used as an additive in beer.",,"A bitter, tangy flower used to flavor beer."
"(272, 192)",305,Void Egg,,Might give birth to the Darkness itself. Do you dare to let it hatch?,,A jet-black egg with red flecks. It's warm to the touch.
"(288, 192)",306,Mayonnaise,,Technically an oily egg yolk. Someone came up with this great idea!,,It looks spreadable.
"(304, 192)",307,Duck Mayonnaise,,Spreadable essence of unborn duck. Goes great in sandwiches.,,"It's a rich, yellow mayonnaise."
"(320, 192)",308,Void Mayonnaise,,"Your mortal, dimensionally finite stomach cannot hope to endure its unfathomable nutrients.",,"A thick, black paste that smells like burnt hair."
"(336, 192)",309,Acorn,,The glans of the penis was named after this tree seed.,,Place this on your farm to plant an oak tree.
"(352, 192)",310,Maple Seed,,A winged tree seed that bears uncanny resemblance to an insect.,,Place this on your farm to plant a maple tree.
"(368, 192)",311,Pine Cone,,Tiny ants crawl between the rough scales.,,Place this on your farm to plant a pine tree.
"(16, 208)",313,Weeds,,UNOBTAINABLE,,...
"(32, 208)",314,Weeds,,UNOBTAINABLE,,...
"(48, 208)",315,Weeds,,UNOBTAINABLE,,...
"(64, 208)",316,Weeds,,UNOBTAINABLE,,...
"(80, 208)",317,Weeds,,UNOBTAINABLE,,...
"(96, 208)",318,Weeds,,UNOBTAINABLE,,...
"(112, 208)",319,Weeds,,UNOBTAINABLE,,...
"(128, 208)",320,Weeds,,UNOBTAINABLE,,...
"(144, 208)",321,Weeds,,UNOBTAINABLE,,...
"(160, 208)",322,Wood Fence,,Keeps grass and animals imprisoned!,,Keeps grass and animals contained!
"(176, 208)",323,Stone Fence,,Makes a stronger prison than a wood fence.,,Lasts longer than a wood fence.
"(192, 208)",324,Iron Fence,,Makes a stronger prison than a stone fence.,,Lasts longer than a stone fence.
"(208, 208)",325,Gate,,"No matter how much oil you give it, the creaking never stops.",,Allows you to pass through a fence.
"(224, 208)",326,Dwarvish Translation Guide,,NON-INVENTORY,,Teaches you dwarvish.
"(256, 208)",328,Wood Floor,,"""Spruce"" things up with tree genocide. Place on the ground to create paths or floors.",,Place on the ground to create paths or to decorate your floors.
"(272, 208)",329,Stone Floor,,Start over with a clean slate. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(288, 208)",330,Clay,,"Not very tasty, 0 out of 10. (2 out of 10 with rice)",,Used in crafting and construction.
"(304, 208)",331,Weathered Floor,,Deliberately crafted to give a haunted look. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(336, 208)",333,Crystal Floor,,Has an unnaturally smooth surface. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(352, 208)",334,Copper Bar,,Shape this metal bar to your needs.,,A bar of pure copper.
"(368, 208)",335,Iron Bar,,Shape this metal bar to suit your purposes.,,A bar of pure iron.
"(0, 224)",336,Gold Bar,,Shape this metal bar to your will.,,A bar of pure gold.
"(16, 224)",337,Iridium Bar,,Shape this metal bar to your darkest desires.,,A bar of pure iridium.
"(32, 224)",338,Refined Quartz,,Every imperfection removed: it's more perfect than you'll ever be.,,A more pure form of quartz.
"(64, 224)",340,Honey,,"Bee spit. The bees use it to feed their young, so it should be fine for human consumption, right?",,It's a sweet syrup produced by bees.
"(80, 224)",341,Tea Set,,A mystical object not of this realm. The biting teapot can be quite dangerous.,,Fine porcelain.
"(96, 224)",342,Pickles,,Jar of soggy vegetables left to cure in a pool of brine.,,A jar of your home-made pickles.
"(112, 224)",343,Stone,,UNOBTAINABLE,,Stone.
"(128, 224)",344,Jelly,,Gooey. Mayor Lewis would approve.,,Gooey.
"(160, 224)",346,Beer,,"Mm, you can really taste how old this liquid is!",,Drink in moderation.
"(176, 224)",347,Rare Seed,,"Plant it nice and deep to get some sweet, sweet berries. Sow in fall, 24 days.",,Sow in fall. Takes all season to grow.
"(192, 224)",348,Wine,,Drink to forget.,,Drink in moderation.
"(208, 224)",349,Energy Tonic,,"This drug will give you the ""youthful"" energy to go all night long!",,Restores a lot of energy.
"(224, 224)",350,Juice,,Life-blood squeezed from vegetables for easy-to-drink vitamins!,,"A sweet, nutritious beverage."
"(240, 224)",351,Muscle Remedy,,Harvey's special steroids. Removes exhaustion.,,"When you've pushed your body too hard, drink this to remove 'Exhaustion'."
"(128, 240)",368,Basic Fertilizer,,Your crops have a slight chance to grow larger in soil sprinkled with tree blood.,,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil."
"(144, 240)",369,Quality Fertilizer,,Improves the chance of higher quality harvests by repurposing dead fish.,,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil."
"(160, 240)",370,Basic Retaining Soil,,Keep your soil moist and wet.,,This soil has a chance of staying watered overnight. Mix into tilled soil.
"(176, 240)",371,Quality Retaining Soil,,Ohh yes! Keep the dirt wet all night long...,,This soil has a good chance of staying watered overnight. Mix into tilled soil.
"(192, 240)",372,Clam,,Taking home invasion to new heights.,,Someone lived here once.
"(208, 240)",373,Golden Pumpkin,,It glistens like capitalism!,,It's valuable but has no other purpose.
"(288, 240)",378,Copper Ore,,Choking hazard: Not for children under 2 years.,,A common ore that can be smelted into bars.
"(320, 240)",380,Iron Ore,,Choking hazard: Not for children under 3 years.,,A fairly common ore that can be smelted into bars.
"(352, 240)",382,Coal,,A bit of magic and fire has turned old bones to coal. Should be safe to use.,,A combustible rock that is useful for crafting and smelting.
"(0, 256)",384,Gold Ore,,Choking hazard: Not for children under 8 years.,,A precious ore that can be smelted into bars.
"(32, 256)",386,Iridium Ore,,Choking hazard: Not for children under 30 years.,,An exotic ore with many curious properties. Can be smelted into bars.
"(64, 256)",388,Wood,,A highly flammable building material.,,"A sturdy, yet flexible plant material with a wide variety of uses."
"(96, 256)",390,Stone,,The most ancient and versatile of all weapons and tools.,,A common material with many uses in crafting and building.
"(128, 256)",392,Nautilus Shell,,"A beautiful specimen. Washed up like this, you can pretend thereâ€™s still plenty in the sea.",,An ancient shell.
"(144, 256)",393,Coral,,"A structure formed by beautiful, endangered species ravaged by human ecological damage.",,A colony of tiny creatures that clump together to form beautiful structures.
"(160, 256)",394,Rainbow Shell,,The poor hermit crab needed this more than you did.,,It's a very beautiful shell.
"(176, 256)",395,Coffee,,"Brown, bitter liquid made from straining hot water through burnt, pulverized seeds.",,It smells delicious. This is sure to give you a boost.
"(192, 256)",396,Spice Berry,,Contains orbs of pungent flesh that burst when prodded.,,It fills the air with a pungent aroma.
"(208, 256)",397,Sea Urchin,,"This creature has an identifiable mouth and anus, but no face.",,"A slow-moving, spiny creature that some consider a delicacy."
"(224, 256)",398,Grape,,With skins peeled they feel like wet eyeballs.,,A sweet cluster of fruit.
"(240, 256)",399,Spring Onion,,Don't inspect these too closely.,,These grow wild during the spring.
"(256, 256)",400,Strawberry,,Bright red coloring in berries usually signals poison. Usually.,,"A sweet, juicy favorite with an appealing red color."
"(272, 256)",401,Straw Floor,,Toss dead grass around for a nice fall look. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(288, 256)",402,Sweet Pea,,The flower's wiry tendrils cling possessively to its surroundings.,,A fragrant summer flower.
"(304, 256)",403,Field Snack,,Flosses your teeth and gums as you eat it. Moderate to severe bleeding is normal.,,A quick snack to fuel the hungry forager.
"(320, 256)",404,Common Mushroom,,"Someday they will decompose *your* remains. If you must eat, chew gently.",,"Slightly nutty, with good texture."
"(336, 256)",405,Wood Path,,Decorate with milled tree carcasses. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(352, 256)",406,Wild Plum,,Watery and tasteless. The weak flavor is overpowered by the fruit's pungent smell.,,Tart and juicy with a pungent aroma.
"(368, 256)",407,Gravel Path,,"Small, sharp rocks to step on. Place on the ground to create paths or floors.",,Place on the ground to create paths or to spruce up your floors.
"(0, 272)",408,Hazelnut,,Oddly large. Its unnatural growth may be caused by Joja-brand pesticides.,,That's one big hazelnut!
"(16, 272)",409,Crystal Path,,Falling on this surface risks a thousand cuts. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(32, 272)",410,Blackberry,,One legend claims that they darken in color as the devil himself enters the fruit.,,An early-fall treat.
"(48, 272)",411,Cobblestone Path,,Naturally rounded into a good throwing size. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(64, 272)",412,Winter Root,,Do you assume every dirty lump you dig up is edible?,,A starchy tuber.
"(80, 272)",413,Blue Slime Egg,,You can see the embryo of a baby slime bouncing within. Hatch it in a slime incubator.,,Can be hatched in a slime incubator.
"(96, 272)",414,Crystal Fruit,,Could break your teeth.,,A delicate fruit that pops up from the snow.
"(112, 272)",415,Stepping Stone Path,,Step on these stones like you step on others to achieve your goals. Place on the ground to create paths or floors.,,Place on the ground to create paths or to spruce up your floors.
"(128, 272)",416,Snow Yam,,Lurks out of sight under the winter snow... waiting...,,This little yam was hiding beneath the snow.
"(144, 272)",417,Sweet Gem Berry,,An unearthly sweetness permeating this stone-fleshed berry renders it entirely inedible.,,It's by far the sweetest thing you've ever smelled.
"(160, 272)",418,Crocus,,This delicate flower prefers all other flowers to be dead when it blooms in the snow.,,A flower that can bloom in the winter.
"(176, 272)",419,Vinegar,,"Given time, it can dissolve submerged human teeth to nothing.",,An aged fermented liquid used in many cooking recipes.
"(192, 272)",420,Red Mushroom,,Maybe it can be made non-poisonous by parboiling... but maybe not.,,A spotted mushroom sometimes found in caves.
"(208, 272)",421,Sunflower,,"Their roots easily soak up uranium, lead, and arsenic from the soil.",,A common misconception is that the flower turns so it's always facing the sun.
"(224, 272)",422,Purple Mushroom,,"Brightly colored. They say this one isn't poisonous, so it should be safe to eat.",,A rare mushroom found deep in caves.
"(240, 272)",423,Rice,,A popular wedding projectile.,,A basic grain often served under vegetables.
"(256, 272)",424,Cheese,,Cow milk exposed to bacteria and allowed to curdle. Eat up!,,It's your basic cheese.
"(288, 272)",426,Goat Cheese,,"Squishy, congealed milk from a goat's udder. Considered a delicacy by many.",,Soft cheese made from goat's milk.
"(320, 272)",428,Cloth,,An essential material for proper mummification.,,A bolt of fine wool cloth.
"(352, 272)",430,Truffle,,Pigs find them easily due to their chemical similarities with pig mating pheromones.,,A gourmet type of mushroom with a unique taste.
"(0, 288)",432,Truffle Oil,,It's wonderfully lubricating.,,A gourmet cooking ingredient.
"(16, 288)",433,Coffee Bean,,"Whatever you do, don't stuff it up your nose. Grows in spring and summer, reharvestable.",,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.
"(32, 288)",434,Stardrop,,NON-INVENTORY,,"A mysterious fruit that empowers those who eat it. The flavor is like a dream... a powerful personal experience, yet difficult to describe to others."
"(64, 288)",436,Goat Milk,,"If cow lactations aren't your thing, try this variant!",,The milk of a goat.
"(80, 288)",437,Red Slime Egg,,It only takes 100 slime carcasses to make one of these. Hatch it in a slime incubator.,,Can be hatched in a slime incubator.
"(96, 288)",438,L. Goat Milk,,The goat's swollen udder must feel much better after squeezing all of this out.,,A gallon of creamy goat's milk.
"(112, 288)",439,Purple Slime Egg,,A developing youngling of the most dangerous variety of slime monster. Hatch it in a slime incubator.,,Can be hatched in a slime incubator.
"(128, 288)",440,Wool,,"That sheep will be cold and shivering, but sure, enjoy how soft this is!",,"Soft, fluffy wool."
"(144, 288)",441,Explosive Ammo,,"Owing to improper storage, it causes hundreds of unfortunate child deaths each year.",,Fire this with the slingshot.
"(160, 288)",442,Duck Egg,,It's still warm... somehow.,,It's still warm.
"(192, 288)",444,Duck Feather,,This exquisite feather was plucked out of a duck's butt.,,It's so colorful.
"(224, 288)",446,Rabbit's Foot,,A successful amputation from a peculiar rabbit species that seems to regrow lost feet.,,Some say it's lucky.
"(240, 288)",447,Aged Roe,,"Aged fish fetuses covered in a thick, gooey substance. The salt brings out the flavor.",,Fish eggs aged in salt to bring out the flavor.
"(272, 288)",449,Stone Base,,UNOBTAINABLE,,A simple block of stone.
"(288, 288)",450,Stone,,UNOBTAINABLE,,Stone.
"(320, 288)",452,Weeds,,UNOBTAINABLE,,A cluster of dry old bushes.
"(352, 288)",454,Ancient Fruit,,"There's no evidence to confirm whether this fruit harbors an ancient, long-dormant disease.",,It's been dormant for eons.
"(0, 304)",456,Algae Soup,,"It's a ""little"" slimy. As in, ""slimy to the point where you're eating more slime than soup"".",,It's a little slimy.
"(16, 304)",457,Pale Broth,,Very similar to algae soup with the additional flavor of rotten eggs.,,A delicate broth with a hint of sulfur.
"(32, 304)",458,Bouquet,,A colorful bunch of severed plant reproductive organs. Maybe your sweetheart will get the hint?,,A gift that shows your romantic interest.
"(48, 304)",459,Mead,,"Old, fermented bee spit! Delicious!",,A fermented beverage made from honey. Drink in moderation.
"(64, 304)",460,Mermaid's Pendant,,A ghost ripped this from a mermaid so you can woo your lover.,,Give this to the person you want to marry.
"(80, 304)",461,Decorative Pot,,UNOBTAINABLE,,A replica of an ancient pot.
"(112, 304)",463,Drum Block,,Beating this to a specific pattern might just awaken the wrong god.,,Plays a drum sound when you walk past.
"(128, 304)",464,Flute Block,,"Go ahead. Play your haunting melodies, see what happens.",,Plays a flute sound when you walk past.
"(144, 304)",465,Speed-Gro,,You have to wonder if this would work on other things. Increases growth rate by at least 10%.,,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.
"(160, 304)",466,Deluxe Speed-Gro,,The long-term effects on edible produce are untested. Increases growth rate by at least 25%.,,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.
"(256, 304)",472,Parsnip Seeds,,"An inexpensive, fast-growing trap for beginner farmers. Plant in spring, 4 days.",,Plant these in the spring. Takes 4 days to mature.
"(272, 304)",473,Bean Starter,,"It doesn't *feel* magical, but you never know. Plant in spring, 10 days, reharvestable. Trellis crop.",,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis."
"(288, 304)",474,Cauliflower Seeds,,"The crop it grows is ghostly pale. Plant in spring, 12 days.",,Plant these in the spring. Takes 12 days to produce a large cauliflower.
"(304, 304)",475,Potato Seeds,,"The package says ""seeds"", but these are clearly potato eyes. Plant in spring, 6 days. Chance for multiple harvest.",,"Plant these in the spring. Takes 6 days to mature, and has a chance of yielding multiple potatoes at harvest."
"(320, 304)",476,Garlic Seeds,,"Plant quickly, before the vampires destroy them. Plant in spring, 4 days.",,Plant these in the spring. Takes 4 days to mature.
"(336, 304)",477,Kale Seeds,,"They probably taste better now than when grown. Plant in spring, 6 days. Harvest with scythe.",,Plant these in the spring. Takes 6 days to mature. Harvest with the scythe.
"(352, 304)",478,Rhubarb Seeds,,"They're pretty much weeds. Plant in spring, 13 days.",,Plant these in the spring. Takes 13 days to mature.
"(368, 304)",479,Melon Seeds,,"No fun in your lungs. Plant in summer, 12 days.",,Plant these in the summer. Takes 12 days to mature.
"(0, 320)",480,Tomato Seeds,,"Sometimes they take root inside ripe tomatoes. Plant in summer, 11 days, reharvestable.",,"Plant these in the summer. Takes 11 days to mature, and continues to produce after first harvest."
"(16, 320)",481,Blueberry Seeds,,"The richest source of wild seeds is fresh bear scat. Plant in summer, 13 days, reharvestable.",,"Plant these in the summer. Takes 13 days to mature, and continues to produce after first harvest."
"(32, 320)",482,Pepper Seeds,,"Not actually the hottest part of the pepper. Plant in summer, 5 days, reharvestable.",,"Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest."
"(48, 320)",483,Wheat Seeds,,"Gluten-rich. Plant in summer or fall, 4 days. Harvest with scythe.",,Plant these in the summer or fall. Takes 4 days to mature. Harvest with the scythe.
"(64, 320)",484,Radish Seeds,,"The pod-growing seeds are sometimes pickled as a snack. Plant in summer, 6 days.",,Plant these in the summer. Takes 6 days to mature.
"(80, 320)",485,Red Cabbage Seeds,,"Produces a swollen, purple head. Plant in summer, 9 days.",,Plant these in the summer. Takes 9 days to mature.
"(96, 320)",486,Starfruit Seeds,,"They'll break the bank. Plant in summer, 13 days.",,Plant these in the summer. Takes 13 days to mature.
"(112, 320)",487,Corn Seeds,,"Terrible as popcorn. Plant in summer or fall, 14 days, reharvestable.",,"Plant these in the summer or fall. Takes 14 days to mature, and continues to produce after first harvest."
"(128, 320)",488,Eggplant Seeds,,"Flat, round eggplant spunk. Plant in fall, 5 days, reharvestable.",,"Plant these in the fall. Takes 5 days to mature, and continues to produce after first harvest."
"(144, 320)",489,Artichoke Seeds,,"A plump variety of thistle. Plant in fall, 8 days.",,Plant these in the fall. Takes 8 days to mature.
"(160, 320)",490,Pumpkin Seeds,,"Fished out from slimy pumpkin entrails. Plant in fall, 13 days.",,Plant these in the fall. Takes 13 days to mature.
"(176, 320)",491,Bok Choy Seeds,,"Yields a cluster of erect, spoon-shaped stems. Plant in fall, 4 days.",,Plant these in the fall. Takes 4 days to mature.
"(192, 320)",492,Yam Seeds,,"Small slips grown by sucking nutrients from an existing yam. Plant in fall, 10 days.",,Plant these in the fall. Takes 10 days to mature.
"(208, 320)",493,Cranberry Seeds,,"Rub them into your skin to exfoliate. Plant in fall, 7 days, reharvestable.",,"Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest."
"(224, 320)",494,Beet Seeds,,"Spiny little kernels that look like small bones. Plant in fall, 6 days.",,Plant these in the fall. Takes 6 days to mature.
"(240, 320)",495,Spring Seeds,,Infested with aphids. Plant in spring.,,An assortment of wild spring seeds.
"(256, 320)",496,Summer Seeds,,Infested with ants. Plant in summer.,,An assortment of wild summer seeds.
"(272, 320)",497,Fall Seeds,,Infested with tiny beetles. Plant in fall.,,An assortment of wild fall seeds.
"(288, 320)",498,Winter Seeds,,Smells of stink bug. Plant in winter.,,An assortment of wild winter seeds.
"(304, 320)",499,Ancient Seeds,,"There are no library records of this ancient species, and they might not be safe for your farm. Plant anyway?",,Could these still grow?
"(304, 272)",427,Tulip Bulb,,"Probably overpriced. Grows in spring, 6 days. Assorted colors.",,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.
"(336, 272)",429,Jazz Seeds,,"Plant these to lure and trap butterflies. Grows in spring, 7 days. Assorted blues.",,Plant in spring. Takes 7 days to produce a blue puffball flower.
"(336, 288)",453,Poppy Seeds,,"Gets stuck between your teeth. Grows in summer, 7 days. Assorted colors.",,Plant in summer. Produces a bright red flower in 7 days.
"(368, 288)",455,Spangle Seeds,,"Produces a highly acidic soil that kills other plants. Grows in summer, 8 days. Assorted colors.",,Plant in summer. Takes 8 days to produce a vibrant tropical flower. Assorted colors.
"(368, 272)",431,Sunflower Seeds,,"Unsalted. Grows in summer and fall, 8 days.",,Plant in summer or fall. Takes 8 days to produce a large sunflower. Yields more seeds at harvest.
"(272, 272)",425,Fairy Seeds,,"Planted by sadistic fairy hunters. Grows in fall, 12 days. Assorted colors.",,Plant in fall. Takes 12 days to produce a mysterious flower. Assorted Colors.
"(192, 336)",516,Small Glow Ring,,You wonder where the light comes from. Could this ring be radioactive?,,"Emits a small, constant light."
"(208, 336)",517,Glow Ring,,"Emits a strong, constant light. Wearing it makes your head feel funny...",,Emits a constant light.
"(224, 336)",518,Small Magnet Ring,,Makes you a little more alluring to the objects in your surroundings.,,Slightly increases your radius for collecting items.
"(240, 336)",519,Magnet Ring,,Everything is fiercely attracted to you. You're just that irresistible.,,Increases your radius for collecting items.
"(256, 336)",520,Slime Charmer Ring,,You won't feel a thing from the slimes' touch. ;),,Prevents damage from slimes.
"(272, 336)",521,Warrior Ring,,"The sharp edges cut into your flesh, making this ring difficult to remove. But it makes you feel stronger...",,"Occasionally infuses the wearer with ""warrior energy"" after slaying a monster."
"(288, 336)",522,Vampire Ring,,It can steal the life-force of any being; hopefully not your own.,,Gain a little health every time you slay a monster.
"(304, 336)",523,Savage Ring,,Wearing this ring overwhelms you with a sudden blood-lust.,,Gain a short speed boost whenever you slay a monster.
"(320, 336)",524,Ring of Yoba,,Lets Yoba watch over you as you fight. Maybe just a little too closely...,,Occasionally shields the wearer from damage.
"(336, 336)",525,Sturdy Ring,,Hardens your skin with repeated use. Negative status effects wear off sooner. ,,Cuts the duration of negative status effects in half.
"(352, 336)",526,Burglar's Ring,,Improves your skills of thievery from corpses.,,Monsters have a greater chance of dropping loot.
"(368, 336)",527,Iridium Band,,Just as uncomfortable as it looks.,,"Glows, attracts items, and increases attack damage by 10%."
"(0, 352)",528,Jukebox Ring,,UNOBTAINABLE,,Plays a random assortment of music you've heard.
"(16, 352)",529,Amethyst Ring,,Push everything and everyone further away from you.,,Increases knockback by 10%.
"(32, 352)",530,Topaz Ring,,Gleams yellow when worn; an unseen force adjusts the movements of your hand.,,Increases weapon precision by 10%.
"(48, 352)",531,Aquamarine Ring,,Sharpens your foresight and your deadly strikes.,,Increases critical strike chance by 10%.
"(64, 352)",532,Jade Ring,,"A dull, useless bauble.",,Increases critical strike power by 10%.
"(80, 352)",533,Emerald Ring,,Kill things faster than ever before.,,Increases weapon speed by 10%.
"(96, 352)",534,Ruby Ring,,The glowing red jewel provokes surges of indiscriminate anger.,,Increases attack by 10%.
"(112, 352)",535,Geode,,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",,A blacksmith can break this open for you.
"(128, 352)",536,Frozen Geode,,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",,A blacksmith can break this open for you.
"(144, 352)",537,Magma Geode,,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within.",,A blacksmith can break this open for you.
"(160, 352)",538,Alamite,,The pale glow from this crystal is a strange shade of bile green.,,Its distinctive fluorescence makes it a favorite among rock collectors.
"(176, 352)",539,Bixite,,The mysteriously regular cubic structure seems artificially formed by someone... or something.,,A dark metallic Mineral sought after for its cubic structure.
"(192, 352)",540,Baryte,,"The semicircular ""petals"" of this crystal resemble a blossoming fungal growth.",,The best specimens resemble a desert rose.
"(208, 352)",541,Aerinite,,"A rare, sky-blue crystal that was sometimes crushed and destroyed to use in paint.",,These crystals are curiously light.
"(224, 352)",542,Calcite,,The soft crystal has been partially dissolved by weak acids.,,This yellow crystal is speckled with shimmering nodules.
"(240, 352)",543,Dolomite,,Can sometimes form as bladder stones inside live animals. The mechanism for this is unknown.,,"It can occur in coral reefs, often near an underwater volcano."
"(256, 352)",544,Esperite,,The crystals glow bright green when stimulated. Stimulated how?,,The crystals glow bright green when stimulated.
"(272, 352)",545,Fluorapatite,,Small amounts are found in human teeth. Tiny crystals... growing... in your mouth bones...,,Small amounts are found in human teeth.
"(288, 352)",546,Geminite,,These twinned crystals have perfect cleavage.,,Occurs in brilliant clusters.
"(304, 352)",547,Helvite,,A rare silicate with pyroelectric properties.,,It grows in a triangular column.
