tilesheet_coordinates,key,name,image,unsettling_description,silly_description,original_description
"(320, 352)",548,Jamborite,,"A spiky, sinister-looking green crystal. It might be from another planet?",,The crystals are so tightly packed it almost looks fuzzy.
"(336, 352)",549,Jagoite,,"Thousands of tiny microcrystals, each one unique and entirely forgettable.",,A high volume of tiny crystals makes it very glittery.
"(352, 352)",550,Kyanite,,Swells up to twice its original size when heated.,,The geometric faces are as smooth as glass.
"(368, 352)",551,Lunarite,,They say the posessor of such a stone can command werewolves.,,The cratered white orbs form a tight cluster.
"(0, 368)",552,Malachite,,Toxic and water-soluable. Please do not insert it into any orifices.,,"A popular ornamental stone, used in sculpture and to make green paint."
"(16, 368)",553,Neptunite,,Reflected in its jet-black surface you can see your face... and another face behind you.,,A jet-black crystal that is unusually reflective.
"(32, 368)",554,Lemon Stone,,Dwarves are said to use the powdered crystal both medicinally and recreationally.,,Some claim the powdered crystal is a dwarvish delicacy.
"(48, 368)",555,Nekoite,,OwO what's this? The shards are too sharp to cuddle-wuddle?,,The delicate shards form a tiny pink meadow.
"(64, 368)",556,Orpiment,,"An attractive variety of arsenic mineral. Used in folk medicine, but highly toxic.",,"Despite its high toxicity, this Mineral is widely used in manufacturing and folk medicine."
"(80, 368)",557,Petrified Slime,,This slime has seen some things. It's best we leave it this way.,,"This little guy may be 100,000 years old."
"(96, 368)",558,Thunder Egg,,Mayonnaise from this would be crunchy.,,"According to legend, angry thunder spirits would throw these stones at one another."
"(112, 368)",559,Pyrite,,Did you think this was gold? Sucker!,,"Commonly known as ""Fool's Gold""."
"(128, 368)",560,Ocean Stone,,Toxin-absorbing crystals that form in the ocean near waste pipes. They emit a foul odor.,,An old legend claims these stones are the mosaics of ancient mermaids.
"(144, 368)",561,Ghost Crystal,,You hear strange moans in the distance when holding this crystal.,,There is an aura of coldness around this crystal.
"(160, 368)",562,Tigerseye,,Some poor tiger was blinded for this...,,A stripe of shimmering gold gives this gem a warm luster.
"(176, 368)",563,Jasper,,It looks like it's been shattered and then reassembled. You can still see the cracks.,,"When polished, this stone becomes attactively luminous. Prized by ancient peoples for thousands of years."
"(192, 368)",564,Opal,,It looks like two other stones were fused to make this...,,Its internal structure causes it to reflect a rainbow of light.
"(208, 368)",565,Fire Opal,,Many of these stones were plundered from indigenous inhabitants of the Fern Islands.,,"A rare variety of opal, named for its red spots."
"(224, 368)",566,Celestine,,"This fragile, pale crystal flares a vivid red when burned.",,Some early life forms had bones made from this.
"(240, 368)",567,Marble,,Some can see angels forever trapped within the stone.,,A very popular material for sculptures and construction.
"(256, 368)",568,Sandstone,,Can be used to make grindstone wheels for sharpening tools or knives.,,A common type of stone with red and brown striations.
"(272, 368)",569,Granite,,Contains traces of uranium that produce carcinogenic radon gas.,,A speckled Mineral that is commonly used in construction.
"(288, 368)",570,Basalt,,Fiber made from this rock is much safer than asbestos.,,Forms near searing hot magma.
"(304, 368)",571,Limestone,,Heat it at high temperatures to produce a compound helpful for disposing of human remains.,,A very common type of stone. It's not worth very much.
"(320, 368)",572,Soapstone,,This stone can be easily carved into all sorts of tempting shapes.,,"Because of its relatively soft consistency, this stone is very popular for carving."
"(336, 368)",573,Hematite,,Legends claim that deposits of this ore will form wherever blood is spilled.,,An iron-based Mineral with interesting magnetic properties.
"(352, 368)",574,Mudstone,,"Porous, dull, soft and fragile. If rocks were people, it wouldn't be worthy to live.",,A fine-grained rock made from ancient clay or mud.
"(368, 368)",575,Obsidian,,Can be crafted into thin blades much sharper than glass. Useful for surgeries.,,A volcanic glass that forms when lava cools rapidly.
"(0, 384)",576,Slate,,A material equally suited to table settings and tombstones.,,"It's extremely resistant to water, making it a good roofing material."
"(16, 384)",577,Fairy Stone,,ALREADY UNSETTLING,,An old miner's song suggests these are made from the bones of ancient fairies.
"(32, 384)",578,Star Shards,,A perfectly uniform structure: proof that Yoba exists... and does not care about you.,,No one knows how these form. Some scientists claim that the microscopic structure displays unnatural regularity.
"(48, 384)",579,Prehistoric Scapula,,The hollow indentation could be used to hold liquid. Or soup.,,"Commonly known as a ""shoulder blade""... It's unclear what species it belonged to."
"(64, 384)",580,Prehistoric Tibia,,It tastes like almonds.,,A thick and sturdy leg bone.
"(80, 384)",581,Prehistoric Skull,,The back of the skull shows a misshapen crater created by some unnatural force.,,This is definitely a mammalian skull.
"(96, 384)",582,Skeletal Hand,,The age of these bones is about one thous... Oh! ...Oh no. They're much more recent.,,It's a wonder all these ancient little pieces lasted so long.
"(112, 384)",583,Prehistoric Rib,,Numerous fracture lines suggest that this creature suffered through frequent blunt-force trauma.,,Little gouge marks on the side suggest that this rib was someone's dinner.
"(128, 384)",584,Prehistoric Vertebra,,There's more backbone here than in your whole body.,,A segment of some prehistoric creature's spine.
"(144, 384)",585,Skeletal Tail,,It's fun to play with.,,It's pretty short for a tail.
"(160, 384)",586,Nautilus Fossil,,Better to collect fossils than the actual creature. They're almost extinct.,,This must've washed up ages ago from an ancient coral reef.
"(176, 384)",587,Amphibian Fossil,,Formed eons ago when a small creature fell into a mud pit and was swallowed alive by the dirt.,,The relatively short hind legs suggest some kind of primordial toad.
"(192, 384)",588,Palm Fossil,,The spread of the five leaves resembles a human hand.,,"Palm Fossils are relatively common, but this happens to be a particularly well-preserved specimen."
"(208, 384)",589,Trilobite,,"A rare fossil that includes all the appendages and guts, not just a sloughed-off exoskeleton.",,A long extinct relative of the crab.
"(224, 384)",590,Artifact Spot,,UNOBTAINABLE,,Uh... how did you get this in your inventory? Ape made a booboo.
"(240, 384)",591,Tulip,,Edible. If you really can't afford better food.,,The most popular spring flower. Has a very faint sweet smell.
"(272, 384)",593,Summer Spangle,,A beautiful star-shaped bloom whose stem contains a deadly poison.,,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma."
"(304, 384)",595,Fairy Rose,,"The sweet scent is alluring to fairies, but one sip of its nectar will turn them to stone.",,An old folk legend suggests that the sweet smell of this flower attracts fairies.
"(336, 384)",597,Blue Jazz,,"Butterflies are entranced by the dangerously sweet nectar. Once they find a flower, they may never leave.",,The flower grows in a sphere to invite as many butterflies as possible.
"(368, 384)",599,Sprinkler,,Spits on the 4 adjacent tiles every morning.,,Waters the 4 adjacent tiles every morning.
"(256, 240)",376,Poppy,,A sweet-smelling flower thought to symbolize death. Breathing its scent is almost addictive...,,"In addition to its colorful flower, the Poppy has culinary and medicinal uses."
"(64, 400)",604,Plum Pudding,,Every proper holiday needs a flaming dessert.,,A traditional holiday treat.
"(80, 400)",605,Artichoke Dip,,Artichokes blended to the texture of baby food. So you don't choke.,,It's cool and refreshing.
"(96, 400)",606,Stir Fry,,"With enough oil, even the grittiest and earthiest vegetables can become edible.",,Julienned vegetables on a bed of rice.
"(112, 400)",607,Roasted Hazelnuts,,Savor the rich forest flavor of charred tree seeds.,,The roasting process creates a rich forest flavor.
"(128, 400)",608,Pumpkin Pie,,Pureed pumpkin guts surrounded with lard-filled crust.,,Silky pumpkin cream in a flakey crust.
"(144, 400)",609,Radish Salad,,Watch out for little worms that also like to eat crisp radishes.,,The radishes are so crisp!
"(160, 400)",610,Fruit Salad,,"A splendid mÃ©lange of textures from mushy blueberries, fuzzy apricots, and underripe melon.",,A delicious combination of summer fruits.
"(176, 400)",611,Blackberry Cobbler,,"Blackberries very often harbor small worms inside them. They're not harmful though, and you won't even notice them when cooked!",,There's nothing quite like it.
"(192, 400)",612,Cranberry Candy,,There's more sugar in this obesity-linked beverage than in soda.,,It's sweet enough to mask the bitter fruit.
"(208, 400)",613,Apple,,How many worms are in this one?,,A crisp fruit used for juice and cider.
"(224, 400)",614,Green Tea,,A highly diluted mixture of shrub and water. Yum!,,"A pleasant, energizing beverage made from lightly processed tea leaves."
"(288, 400)",618,Bruschetta,,Tomatoes for people who hate tomatoes.,,Roasted tomatoes on a crisp white bread.
"(336, 400)",621,Quality Sprinkler,,Dribbles on the 8 adjacent tiles every morning.,,Waters the 8 adjacent tiles every morning.
"(336, 416)",645,Iridium Sprinkler,,Slobbers on the 24 adjacent tiles every morning.,,Waters the 24 adjacent tiles every morning.
"(0, 432)",648,Coleslaw,,"It's very ""healthy"". Tastes like eating sliced up cardboard with mayonnaise.",,"It's light, fresh and very healthy."
"(16, 432)",649,Fiddlehead Risotto,,A garlicky slurry of rice porridge served with tasteless greens.,,A creamy rice dish served with sauteed fern heads. It's a little bland.
"(48, 432)",651,Poppyseed Muffin,,"It has a soothing effect, just like opium.",,It has a soothing effect.
"(64, 416)",628,Cherry Sapling,,"The dismembered limb of a cherry tree, taken root. Matures in 28 days, bears fruit in spring. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
"(80, 416)",629,Apricot Sapling,,"The sliced-off arm of an apricot tree, taken root. Matures in 28 days, bears fruit in spring. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
"(96, 416)",630,Orange Sapling,,"The mutilated limb of an orange tree, taken root. Matures in 28 days, bears fruit in summer. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
"(112, 416)",631,Peach Sapling,,"The amputated arm of a peach tree, taken root. Matures in 28 days, bears fruit in summer. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
"(128, 416)",632,Pomegranate Sapling,,"The severed limb of a pomegranate tree, taken root. Matures in 28 days, bears fruit in fall. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
"(144, 416)",633,Apple Sapling,,"The butchered arm of an apple tree, taken root. Matures in 28 days, bears fruit in fall. Only grows if the 8 surrounding ""tiles"" are empty.",,"Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
"(160, 416)",634,Apricot,,Take care not to choke on the cyanide-filled pit.,,A tender little fruit with a rock-hard pit.
"(176, 416)",635,Orange,,A delicious treat for the shower.,,"Juicy, tangy, and bursting with sweet summer aroma."
"(192, 416)",636,Peach,,"Fuzzy to the touch with soft, sweet flesh underneath.",,It's almost fuzzy to the touch.
"(208, 416)",637,Pomegranate,,"A known aphrodisiac with an inside texture like tiny, crunchy eyeballs.",,Within the fruit are clusters of juicy seeds.
"(224, 416)",638,Cherry,,A popular modder known for creating Train Station mod and Shop Tile Framework.,,"It's popular, and ripens sooner than most other fruits."
"(320, 432)",668,Stone,,UNOBTAINABLE,,There's stone ore in this stone.
"(352, 432)",670,Stone,,UNOBTAINABLE,,There's stone ore in this stone.
"(32, 448)",674,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(48, 448)",675,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(64, 448)",676,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(80, 448)",677,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(96, 448)",678,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(112, 448)",679,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(128, 448)",680,Green Slime Egg,,"It squirms within your grasp, the embryo eagerly awaiting release. Hatch it in a slime incubator.",,Can be hatched in a slime incubator.
"(144, 448)",681,Rain Totem,,Activate it to play god and wreck havoc on natural weather patterns. Consumed on use.,,Activate to greatly increase the chance for rain tomorrow. Consumed on use.
"(160, 448)",682,Mutant Carp,,How toxic must the town's wastewater be to have created this monstrosity?,,The strange waters of the sewer turned this carp into a monstrosity.
"(192, 448)",684,Bug Meat,,Throw this on the grill for a late night treat!,,It's a juicy wad of bug flesh.
"(208, 448)",685,Bait,,"Large bugs, slain and minced to lure in more critters for food.",,Causes fish to bite faster. Must first be attached to a fishing rod.
"(224, 448)",686,Spinner,,"Oh gosh, it's naked. Slightly increases the bite-rate when fishing.",,The shape makes it spin around in the water. Slightly increases the bite-rate when fishing.
"(240, 448)",687,Dressed Spinner,,A spinner with a sense of propriety. Increases the bite-rate when fishing.,,The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing.
"(256, 448)",688,Warp Totem: Farm,,Warps all time and space to re-center the farm on your current physical location. Consumed on use.,,Warp directly to your house. Consumed on use.
"(272, 448)",689,Warp Totem: Mountains,,Warps all time and space to re-center the mountains on your current physical location. Consumed on use.,,Warp directly to the mountains. Consumed on use.
"(288, 448)",690,Warp Totem: Beach,,Warps all time and space to re-center the beach on your current physical location. Consumed on use.,,Warp directly to the beach. Consumed on use.
"(304, 448)",691,Barbed Hook,,"Stab the fish when they bite the hook, stab them again when they try to wriggle free.",,"Makes your catch more secure, causing the ""fishing bar"" to cling to your catch. Works best on slow, weak fish."
"(320, 448)",692,Lead Bobber,,"Wears away to nothing in 20 uses. Good job on adding to water contamination, you.",,"Adds weight to your ""fishing bar"", preventing it from bouncing along the bottom."
"(336, 448)",693,Treasure Hunter,,Reduces squirming hooked fish to mere side-quests on your mad hunt for treasure.,,Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures.
"(352, 448)",694,Trap Bobber,,Helps thwart a hooked fish's efforts to free itself.,,Causes fish to escape slower when you aren't reeling them in.
"(368, 448)",695,Cork Bobber,,"A nifty gimmick to fake the effect of a higher fishing level. Increases the size of your ""fishing bar"".",,"Slightly increases the size of your ""fishing bar""."
"(32, 464)",698,Sturgeon,,"Slow-breeding bottom-feeder close to extinction. Now there's one less in the wild, courtesy of you.",,An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.
"(48, 464)",699,Tiger Trout,,"Doomed to be the last of their bloodline, these unnatural hybrids can never reproduce.",,A rare hybrid trout that cannot bear offspring of its own.
"(64, 464)",700,Bullhead,,"In a pinch, they will even eat sewage. Beware their teeth and the poisonous barbs on their fins.",,A relative of the catfish that eats a variety of foods off the lake bottom.
"(80, 464)",701,Tilapia,,Swims with a mouth full of half-hatched babies for a week before spitting them out.,,A primarily vegetarian fish that prefers warm water.
"(96, 464)",702,Chub,,This freshwater fish is at half-mast.,,A common freshwater fish known for its voracious appetite.
"(112, 464)",703,Magnet,,Litter the rivers and ocean floor with these in search of treasure.,,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste."
"(128, 464)",704,Dorado,,Only moderately contaminated with mercury.,,A fierce carnivore with brilliant orange scales.
"(144, 464)",705,Albacore,,"This ""chicken of the sea"" sports a ghastly visage with beak-like snout and large, glassy eyes.",,"Prefers temperature ""edges"" where cool and warm water meet."
"(160, 464)",706,Shad,,Roe-filled females are especially prized; the unborn eggs are considered a delicacy.,,"Lives in a school at sea, but returns to the rivers to spawn."
"(176, 464)",707,Lingcod,,A voracious predator that will eagerly cannibalize other lingcod of similar size.,,A fearsome predator that will eat almost anything it can cram into its mouth.
"(192, 464)",708,Halibut,,"Born with an eye on each side of its head, one eye slowly migrates across as it grows.",,A flat fish that lives on the ocean floor.
"(208, 464)",709,Hardwood,,A formidable length of hardened wood. Very pleasing to the touch.,,A special kind of wood with superior strength and beauty.
"(224, 464)",710,Crab Pot,,Place in the water and load with tantalizing insect bits. Return next day for a stinky surprise!,,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean."
"(304, 464)",715,Lobster,,Raising them in captivity is difficult; their cannibalistic behaviour limits profits.,,A large ocean-dwelling crustacean with a strong tail.
"(320, 464)",716,Crayfish,,Their sperm are amoeba-shaped and crawl towards the eggs.,,A small freshwater relative of the lobster.
"(336, 464)",717,Crab,,"A sea spider, ready to be boiled alive and eaten fresh.",,A marine crustacean with two powerful pincers.
"(352, 464)",718,Cockle,,"The cockle's large siphon pokes out from its shell, squirming like a giant tongue.",,A common saltwater clam.
"(368, 464)",719,Mussel,,Predator snails will bore a hole through the mussel's shell and suck out its soft parts.,,A common bivalve that often lives in clusters.
"(0, 480)",720,Shrimp,,The largest specimen ever found was long enough to wrap around a human neck.,,A scavenger that feeds off the ocean floor. Widely prized for its meat.
"(16, 480)",721,Snail,,"Seasoning with enough salt will kill it, if it's not already dead.",,A wide-ranging mollusc that lives in a spiral shell.
"(32, 480)",722,Periwinkle,,"A squelching, slimy critter. It smells way too strong for its size.",,A tiny freshwater snail that lives in a blue shell.
"(48, 480)",723,Oyster,,A slimy-feeling shell means this creature is still alive.,,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
"(64, 480)",724,Maple Syrup,,"The sweet life-blood of maple trees, extracted for consumption.",,A sweet syrup with a unique flavor.
"(80, 480)",725,Oak Resin,,"The innards of an oak tree, extracted and processed for use.",,"A sticky, fragrant substance derived from oak sap."
"(96, 480)",726,Pine Tar,,Pairs beautifully with feathers.,,A pungent substance derived from pine sap.
"(112, 480)",727,Chowder,,Just hot ocean milk with dead animal croutons.,,A perfect way to warm yourself after a cold night at sea.
"(160, 480)",730,Lobster Bisque,,Some say you can hear the lobster scream as it is boiled alive. Others say it is just the sound of steam escaping.,,This delicate soup is a secret family recipe of Willy's.
"(128, 480)",728,Fish Stew,,"Avoid wasting fish scraps, heads and eyeballs by hiding them in this savory dish.",,"It smells a lot like the sea. Tastes better, though."
"(144, 480)",729,Escargot,,"It may have a fancy French name, but it's still just snails.",,Butter-soaked snails cooked to perfection.
"(176, 480)",731,Maple Bar,,A sweet treat for humans and insects alike.,,It's a sweet doughnut topped with a rich maple glaze.
"(192, 480)",732,Crab Cakes,,"Glutenous, oil-fried discs of dead crab flesh.",,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown."
"(208, 480)",733,Shrimp Cocktail,,"Delicious, drinkable invertebrates, freshly-caught.",,A sumptuous appetizer made with freshly-caught shrimp.
"(224, 480)",734,Woodskip,,Lurks among the rotten wood of deep ponds.,,A very sensitive fish that can only live in pools deep in the forest.
"(16, 496)",745,Strawberry Seeds,,"Not even real berries, they're all impostors.",,"Plant these in spring. Takes 8 days to mature, and keeps producing strawberries after that."
"(32, 496)",746,Jack-O-Lantern,,Vegetable craniotomy victim. Place its leering skull in a visible location as a warning to others.,,A whimsical fall decoration.
"(48, 496)",747,Rotten Plant,,Flies have laid eggs in the putrid mass. You should probably get rid of this.,,Decomposing organic material. It's slimy and unpleasant.
"(64, 496)",748,Rotten Plant,,Something wriggles just under the surface. You should probably get rid of this.,,Decomposing organic material. It's slimy and unpleasant.
"(80, 496)",749,Omni Geode,,"Ask a blacksmith to shatter this poor rock, then toss it aside for the treasure within. So many possibilities!",,A blacksmith can break this open for you. These geodes contain a wide variety of Minerals.
"(96, 496)",750,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(112, 496)",751,Stone,,UNOBTAINABLE,,There's copper ore in this stone.
"(256, 496)",760,Stone,,UNOBTAINABLE,,...
"(288, 496)",762,Stone,,UNOBTAINABLE,,...
"(320, 496)",764,Stone,,UNOBTAINABLE,,gold ore
"(336, 496)",765,Stone,,UNOBTAINABLE,,iridium ore
"(352, 496)",766,Slime,,You're not sure which organ this gelatinous substance is from.,,"A shimmering, gelatinous glob with no smell."
"(368, 496)",767,Bat Wing,,It's still twitching after being sliced off from the body.,,The material is surprisingly delicate.
"(0, 512)",768,Solar Essence,,A warm remnant of Yoba's power.,,The glowing face is warm to the touch.
"(16, 512)",769,Void Essence,,The chill you get from holding this seeps right to your core.,,It's quivering with dark energy.
"(32, 512)",770,Mixed Seeds,,"There's a little bit of everything in here! Not just seeds... there's a few dead bugs and animal droppings, too.",,There's a little bit of everything here. Plant them and see what grows!
"(48, 512)",771,Fiber,,Better check it for animal droppings.,,Raw material sourced from plants.
"(64, 512)",772,Oil of Garlic,,"You'll ooze garlic from every pore, producing a pungent odor that is frightful to weaker monsters.",,Drink this and weaker monsters will avoid you.
"(80, 512)",773,Life Elixir,,All magic comes with a price.,,Restores health to full.
"(96, 512)",774,Wild Bait,,Bug corpses held together with Linus' special sauce.,,A unique recipe from Linus that gives you a chance to catch two fish at once.
"(112, 512)",775,Glacierfish,,Its eyes looked into your soul just before it passed out from heat and suffocation.,,Builds a nest on the underside of glaciers.
"(256, 512)",784,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(272, 512)",785,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(288, 512)",786,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(304, 512)",787,Battery Pack,,Lightning-powered. It's probably safe.,,It's fully charged with precious energy.
"(320, 512)",788,Lost Axe,,"The axe cries out for its owner. Faintly you can hear it whisper, ""Robin...""",,Robin's been looking everywhere for it.
"(336, 512)",789,Lucky Purple Shorts,,Most definitely unwashed.,,Better not inspect these too closely.
"(352, 512)",790,Berry Basket,,"Stained with what you *hope* is berry juice. It smells like Linus, and he smells awful.",,The fibers are stained with berry juice.
"(0, 528)",792,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(16, 528)",793,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(32, 528)",794,Weeds,,UNOBTAINABLE,,Ugly weeds.
"(48, 528)",795,Void Salmon,,"Shadows have mutated this species beyond repair. Keep an eye out behind you, you could be next.",,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air."
"(64, 528)",796,Slimejack,,"Slime oozes out from under every scale, leaving a stinging sensation on your skin.",,He's coated in a very thick layer of slime. He keeps slipping out of your hands!
"(80, 528)",797,Pearl,,"A grain of sand that irritated an oyster until it spat on it again, and again, and again.",,A rare treasure from the sea.
"(96, 528)",798,Midnight Squid,,"Every sucker on its writhing tentacles is adorned with sharp, serrated rings.",,A strange and mysterious denizen of the ocean's twilight depths.
"(112, 528)",799,Spook Fish,,"Its huge, tubular eyes point directly upwards. They are encased in a transparent dome of soft flesh.",,The huge eyes can detect the faint silhouettes of prey.
"(128, 528)",800,Blobfish,,A fish rapidly pulled from its deep-sea home. The changing pressures have almost turned it inside-out.,,"This odd creature floats above the ocean floor, consuming any edible material in its path."
"(144, 528)",801,Wedding Ring,,"Binds your partner's soul to yours, 'til death do you part.",,An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage.
"(160, 528)",802,Cactus Seeds,,"Grows a spiny plant with a nasty defense system. Plant indoors only, 12 days, reharvestable.",,"Can only be grown indoors. Takes 12 days to mature, and then produces fruit every 3 days."
"(176, 528)",803,Iridium Milk,,NON-INVENTORY,,A powerful 'milk' of unknown origin...
"(208, 528)",805,Tree Fertilizer,,"Forces unnaturally rapid tree growth, even in winter. Doesn't work on fruit trees.",,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees."
"(240, 528)",807,Dinosaur Mayonnaise,,"Yum, dead dinosaur babies!",,"It's thick and creamy, with a vivid green hue. It smells like grass and leather."
"(256, 528)",808,Void Ghost Pendant,,Snatched from a mermaid's corpse and dipped in the ichor of shadow beings. A token of friendship.,,"It's symoblic to the shadow people. As a gift, it signifies the desire to move in together as friends."
"(272, 528)",809,Movie Ticket,,Sit with strangers in the dark and pretend the room isn't gassed up with farts. Give one to a friend!,,Admits one to the movie theater. Giving this to a friend invites them to the movies with you.
"(288, 528)",810,Crabshell Ring,,"The enchanted shell might protect you, but it certainly didn't protect the crab.",,The top of the ring is made from enchanted crab shell.
"(304, 528)",811,Napalm Ring,,Explodes enemy corpses. Violently. Wear it on a finger!,,"When you defeat an enemy, they explode."
"(320, 528)",812,Roe,,You can see tiny baby fish inside. Alive and wiggling. Age them in a preserves jar to bring out more flavor.,,Fresh fish eggs. These can be aged in a preserves jar to bring out more flavor.
"(208, 288)",445,Caviar,,"The salted, unborn offspring of an endangered fish species. A luxurious delicacy!",,The cured roe of a sturgeon fish. Considered to be a luxurious delicacy!
"(352, 528)",814,Squid Ink,,The inky emissions of a terrified sea creature.,,Squid use this ink to confuse would-be predators.
"(368, 528)",815,Tea Leaves,,An infusion of these can send you for a wild ride.,,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage."
"(48, 176)",267,Flounder,,Two eyes on one side of its head and none on the other. It wasn't born that way.,,"It lives on the bottom, so both eyes are on top of its head."
"(16, 176)",265,Seafoam Pudding,,Waterlogged and briny. There's no going back if you eat this.,,This briny pudding will really get you into the maritime mindset!
"(80, 176)",269,Midnight Carp,,It's up to no good.,,This shy fish only feels comfortable at night.